Column1;id;age;cause;vus;country;kpp;yService;voenk;kategory;katZ;date;date_wo_time
200;3118;21.0;;;Грузия;Верхний Ларс;;;В;;29.09.2022 9:37;2022-09-29
201;3124;50.0;отказ от военкомата;служил;Финляндия;Брусничное;;;;;29.09.2022 10:26;2022-09-29
202;3124;33.0;отказ от военкомата;служил;Финляндия;Брусничное;;;;;29.09.2022 10:26;2022-09-29
203;3125;33.0;отказ от военкомата;связист;Казахстан;Сагарчин;;;А1;;29.09.2022 10:28;2022-09-29
204;3129;30.0;;121300, связист, военная кафедра;Турция;Внуково;;;;1.0;29.09.2022 10:36;2022-09-29
205;3130;29.0;отказ от военкомата;;Казахстан;Орск;;;;;29.09.2022 5:30;2022-09-29
206;3134;36.0;отказ от военкомата;не служил;Грузия;Верхний Ларс;;;Б;;25.09.2022 10:57;2022-09-25
207;3144;NULL;отказ от военкомата;;Финляндия;;;;Б;;29.09.2022 0:30;2022-09-29
208;3145;33.0;отказ от военкомата;артиллерия, военная кафедра, офицер;Армения;Шереметьево;;;;13.0;29.09.2022 6:00;2022-09-29
209;3159;27.0;отказ от военкомата;не служил;Грузия;Верхний Ларс;;;В;;29.09.2022 12:10;2022-09-29
210;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
211;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
212;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
213;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
214;3159;NULL;отказ от военкомата;служил;;Внуково;;;;;29.09.2022 12:10;2022-09-29
215;3160;24.0;отказ от военкомата;097000, военная кафедра;Казахстан;;;Всеволожск, Ленинградская область;;;28.09.2022 12:15;2022-09-28
216;3164;NULL;;;;Внуково;;;;;29.09.2022 12:25;2022-09-29
217;3165;29.0;отказ от военкомата;служил;Казахстан;Караозек;;;А;;28.09.2022 12:30;2022-09-29
218;3165;27.0;отказ от военкомата;служил;Казахстан;Караозек;;;А;;28.09.2022 12:30;2022-09-28
219;3165;NULL;отказ от военкомата;;Казахстан;Караозек;;;В;;28.09.2022 12:30;2022-09-28
220;3165;NULL;отказ от военкомата;;Казахстан;Караозек;;;В;;28.09.2022 12:30;2022-09-28
221;3168;30.0;долг;старший оператор СОУ, рядовой;Киргизия;Сочи;;;;;21.09.2022 12:37;2022-09-21
222;3170;23.0;отказ от военкомата;военная кафедра;Грузия;;;Ульяновск, Ульяновская область;А1;;27.09.2022 21:00;2022-09-27
223;3171;NULL;отказ от военкомата;;Швеция;;;;;;28.09.2022 23:45;2022-09-28
224;3173;24.0;отказ от военкомата;служил;Казахстан;Казанское;;;А1;;29.09.2022 2:00;2022-09-29
225;3175;NULL;отказ от военкомата;;Турция;Казань;;Кыштым, Челябинская область;В;;29.09.2022 12:55;2022-09-29
226;3185;23.0;отказ от военкомата;549543А, оператор коротковолновой связи;Киргизия;Домодедово;2019-2020;;;1.0;29.09.2022 13:05;2022-09-29
227;3192;NULL;отказ от военкомата;старший телефонист;Армения;Шереметьево;;;Б;;29.09.2022 13:17;2022-09-29
228;3194;37.0;отказ от военкомата;170202, военная кафедра;Турция;Шереметьево;;Санкт-Петербург;;;29.09.2022 13:17;2022-09-29
229;3196;NULL;;;Таджикистан;Жуковский;;;;;28.09.2022 13:22;2022-09-28
230;3201;29.0;отказ от военкомата;рота почётного караула;Казахстан;Орск;;Архангельская область;А1;;28.09.2022 13:32;2022-09-28
231;3207;30.0;отказ от военкомата;связист;Таджикистан;Минеральные Воды;;Смоленск, Смоленская область;;1.0;29.09.2022 13:39;2022-09-29
232;3207;33.0;отказ от военкомата;вдв;Таджикистан;Минеральные Воды;;Смоленск, Смоленская область;;1.0;29.09.2022 13:39;2022-09-29
233;3226;33.0;долг;не служил;Казахстан;;;;В;2.0;29.09.2022 14:17;2022-09-29
234;3226;25.0;отказ во въезде;служил;Казахстан;;2017-2018;;А1;2.0;29.09.2022 14:17;2022-09-29
235;3246;24.0;отказ от военкомата;;Казахстан;;;;;;29.09.2022 15:37;2022-09-29
236;3265;32.0;отказ от военкомата;191, химик;Азербайджан;Самара;;Пензенская область;;;29.09.2022 16:10;2022-09-29
237;3267;NULL;отказ от военкомата;заместитель командира взвода, стрелок;Армения;Сочи;;;;;29.09.2022 3:17;2022-09-29
238;3276;NULL;отказ от военкомата;;Турция;Внуково;;Волгоградская область;;;28.09.2022 16:31;2022-09-28
239;3278;38.0;;артиллерия, военная кафедра, офицер;Монголия;Кяхта;;;;;28.09.2022 16:33;2022-09-28
240;3280;25.0;отказ от военкомата;служил;Турция;Пулково;;Республика Карелия;Б3;;29.09.2022 16:35;2022-09-29
